p,q,aic,bic,converged
0,2,-8491.047876533303,-8468.038535880094,True
2,0,-8490.971738653492,-8467.962398000283,True
2,1,-8489.545958667848,-8460.784282851337,True
1,2,-8489.34010116766,-8460.578425351148,True
3,0,-8489.308782619306,-8460.547106802795,True
0,3,-8489.117989764527,-8460.356313948016,True
1,1,-8488.930868470412,-8465.921527817203,True
2,2,-8488.6144700248,-8454.100459044987,True
1,0,-8488.149742846668,-8470.892737356762,True
1,3,-8487.826864500996,-8453.312853521182,True
0,1,-8487.62471768396,-8470.367712194055,True
3,1,-8487.322684632745,-8452.808673652931,True
3,2,-8485.23784589862,-8444.971499755504,True
2,3,-8485.182307753352,-8444.915961610235,True
0,0,-8484.253500477076,-8472.74883015047,True
3,3,-8484.01701090851,-8437.998329602091,True
